Compra_Fecha,Compra_Monto,Venta_Fecha,Venta_Monto,Ganancia
2023-02-06,85.77166748046875,2023-03-08,85.73289489746094,-4.5204417900166725
2023-03-10,81.45061492919922,2023-04-24,92.85358428955078,1399.3528132766596
2023-04-25,91.5109634399414,2023-06-15,123.12049865722656,3935.980363467132
2023-06-20,118.73271942138672,2023-07-03,113.97522735595703,-614.2891386516442
2023-07-05,112.81748962402344,2023-07-18,117.90946197509766,664.2244168526937
2023-07-20,113.13529205322266,2023-08-07,113.35008239746094,29.20075690292684
2023-08-08,112.50069427490234,2023-09-15,111.21195983886719,-176.5263029309271
2023-09-18,109.55221557617188,2023-09-21,106.83807373046875,-377.4060538516022
2023-09-25,105.7348403930664,2023-10-11,107.43479919433594,238.8485740335776
2023-10-12,106.91545867919922,2023-10-17,106.84686279296875,-9.684714017274008
2023-10-18,106.07276153564453,2023-10-23,101.57508850097656,-639.6383723401872
2023-10-24,101.12432861328125,2023-12-11,112.81438446044922,1669.9165658791583
2023-12-12,98.78240203857422,2023-12-29,103.3094711303711,738.550515271289
2024-01-02,101.9670181274414,2024-02-09,114.73687744140625,2110.7150873897986
2024-02-12,113.94993591308594,2024-02-15,110.93985748291016,-500.96831032316936
2024-02-16,109.49384307861328,2024-03-19,127.08211517333984,2965.8796426541653
2024-03-25,124.02285766601562,2024-04-03,124.18024444580078,27.194513747984928
2024-04-04,122.16368865966797,2024-04-12,119.5184097290039,-464.6167835732691
2024-04-19,113.37027740478516,2024-06-20,141.03192138671875,5121.969702666275
2024-06-21,139.6404571533203,2024-07-15,141.58847045898438,364.2982604433498
2024-07-16,141.1332244873047,2024-08-01,136.08602905273438,-946.9213885182753
2024-08-05,126.53596496582031,2024-08-21,138.74818420410156,2464.097892771833
2024-08-22,136.65011596679688,2024-10-14,174.68812561035156,7792.888328033891
2024-10-15,172.67462158203125,2024-11-26,188.822265625,3346.76106515435
2024-11-27,181.21463012695312,2024-12-06,190.1315460205078,1925.7067747594392
2024-12-10,176.29495239257812,2024-12-13,171.98033142089844,-1004.9221983641693
2024-12-17,168.3302459716797,2024-12-26,170.28421020507812,464.96795512683616
2025-01-07,160.71267700195312,2025-02-26,171.48826599121094,2716.8876219722956
2025-02-27,163.82215881347656,2025-03-07,154.2768096923828,-2519.3252474367278
2025-03-10,147.94305419921875,2025-07-18,245.4499969482422,26837.003979518442
2025-07-21,243.5399932861328,2025-09-10,328.3299865722656,23519.91961302588
2025-09-12,292.17999267578125,2025-09-17,301.4100036621094,2877.0905145512647
